views,subscriber,videoscount,date,year,day_of_week,month,day,week_number,season,quarter,part_of_month
3302429,2087,4,2016-10-01,2016,5,10,1,39,3,3,0
3304705,2087,4,2016-10-02,2016,6,10,2,39,3,3,0
3306526,2090,4,2016-10-03,2016,0,10,3,40,3,3,0
3309092,2090,4,2016-10-04,2016,1,10,4,40,3,3,0
3311343,2090,4,2016-10-05,2016,2,10,5,40,3,3,0
3313549,2091,4,2016-10-06,2016,3,10,6,40,3,3,0
3316519,2092,4,2016-10-07,2016,4,10,7,40,3,3,0
3319146,2091,4,2016-10-08,2016,5,10,8,40,3,3,0
3321635,2093,4,2016-10-09,2016,6,10,9,40,3,3,0
3324611,2094,4,2016-10-10,2016,0,10,10,41,3,3,0
3327683,2096,4,2016-10-11,2016,1,10,11,41,3,3,1
3331052,2098,4,2016-10-12,2016,2,10,12,41,3,3,1
3331052,2098,4,2016-10-13,2016,3,10,13,41,3,3,1
3335704,2100,4,2016-10-14,2016,4,10,14,41,3,3,1
3339653,2104,4,2016-10-15,2016,5,10,15,41,3,3,1
3343685,2107,4,2016-10-16,2016,6,10,16,41,3,3,1
3346412,2107,4,2016-10-17,2016,0,10,17,42,3,3,1
3348952,2109,4,2016-10-18,2016,1,10,18,42,3,3,1
3351502,2110,4,2016-10-19,2016,2,10,19,42,3,3,1
3355287,2113,4,2016-10-20,2016,3,10,20,42,3,3,1
3355287,2114,4,2016-10-21,2016,4,10,21,42,3,3,2
3363102,2118,4,2016-10-22,2016,5,10,22,42,3,3,2
3367243,2119,4,2016-10-23,2016,6,10,23,42,3,3,2
3367243,2122,4,2016-10-24,2016,0,10,24,43,3,3,2
3372972,2123,4,2016-10-25,2016,1,10,25,43,3,3,2
3375730,2124,4,2016-10-26,2016,2,10,26,43,3,3,2
3379522,2126,4,2016-10-27,2016,3,10,27,43,3,3,2
3383486,2128,4,2016-10-28,2016,4,10,28,43,3,3,2
3387252,2124,4,2016-10-29,2016,5,10,29,43,3,3,2
3391743,2125,4,2016-10-30,2016,6,10,30,43,3,3,2
3395809,2127,4,2016-10-31,2016,0,10,31,44,3,3,2
3398061,2129,4,2016-11-01,2016,1,11,1,44,3,3,0
3400360,2131,4,2016-11-02,2016,2,11,2,44,3,3,0
3402841,2131,4,2016-11-03,2016,3,11,3,44,3,3,0
3405298,2131,4,2016-11-04,2016,4,11,4,44,3,3,0
3405298,2132,4,2016-11-05,2016,5,11,5,44,3,3,0
3410614,2132,4,2016-11-06,2016,6,11,6,44,3,3,0
3412427,2133,4,2016-11-07,2016,0,11,7,45,3,3,0
3415451,2134,4,2016-11-08,2016,1,11,8,45,3,3,0
